epoch,lr,step,train_inhibitors_classes_acc,train_inhibitors_classes_loss,train_inhibitors_refine_acc,train_inhibitors_refine_loss,train_total_acc,train_total_loss,val_inhibitors_classes_acc,val_inhibitors_classes_loss,val_inhibitors_refine_acc,val_inhibitors_refine_loss,val_total_acc,val_total_loss
0.0,0.0010000000474974513,4,0.5166640281677246,0.6977933645248413,0.5116071701049805,0.6973535418510437,0.5166640281677246,0.6977933645248413,0.37142857909202576,0.6936482191085815,0.5111111402511597,0.6961299180984497,0.37142857909202576,0.6936482191085815
1.0,0.0010000000474974513,9,0.4345427453517914,0.6931992173194885,0.5205357074737549,0.6981176733970642,0.4345427453517914,0.6931992173194885,0.6285714507102966,0.6922616362571716,0.5111111402511597,0.6972813010215759,0.6285714507102966,0.6922616362571716
2.0,0.0010000000474974513,14,0.5200459361076355,0.6915211081504822,0.5205357074737549,0.7045516967773438,0.5200459361076355,0.6915211081504822,0.38367345929145813,0.687752366065979,0.5111111402511597,0.694969892501831,0.38367345929145813,0.687752366065979
3.0,0.0010000000474974513,19,0.6046487092971802,0.6843380928039551,0.450892835855484,0.701354444026947,0.6046487092971802,0.6843380928039551,0.6265305876731873,0.6791807413101196,0.4888888895511627,0.6936367750167847,0.6265305876731873,0.6791807413101196
4.0,0.0010000000474974513,24,0.6691781878471375,0.6710705161094666,0.45714282989501953,0.6947859525680542,0.6691781878471375,0.6710705161094666,0.3897959291934967,0.6830626130104065,0.4962962865829468,0.6913126707077026,0.3897959291934967,0.6830626130104065
5.0,0.0010000000474974513,29,0.5501677393913269,0.6668456196784973,0.5330356955528259,0.6865891218185425,0.5501677393913269,0.6668456196784973,0.6877551078796387,0.6563613414764404,0.5111111402511597,0.691278874874115,0.6877551078796387,0.6563613414764404
6.0,0.0010000000474974513,34,0.6151730418205261,0.6562212705612183,0.47857141494750977,0.6970579028129578,0.6151730418205261,0.6562212705612183,0.5979591608047485,0.6494590640068054,0.644444465637207,0.6723282933235168,0.5979591608047485,0.6494590640068054
7.0,0.0010000000474974513,39,0.619752824306488,0.6529945731163025,0.5178571939468384,0.6866393089294434,0.619752824306488,0.6529945731163025,0.636734664440155,0.7163195013999939,0.5925925970077515,0.6747686266899109,0.636734664440155,0.7163195013999939
8.0,0.0010000000474974513,44,0.6462976932525635,0.6722642779350281,0.6178571581840515,0.6632847785949707,0.6462976932525635,0.6722642779350281,0.4673469364643097,0.6728431582450867,0.5629629492759705,0.6609668731689453,0.4673469364643097,0.6728431582450867
9.0,0.0010000000474974513,49,0.6442002058029175,0.631460964679718,0.6303572058677673,0.6543919444084167,0.6442002058029175,0.631460964679718,0.6102041006088257,0.6344496607780457,0.6740740537643433,0.6394829154014587,0.6102041006088257,0.6344496607780457
10.0,0.0010000000474974513,54,0.6411609053611755,0.6227666139602661,0.6678571701049805,0.637225329875946,0.6411609053611755,0.6227666139602661,0.6714285612106323,0.6247180104255676,0.6592592597007751,0.6299979090690613,0.6714285612106323,0.6247180104255676
11.0,0.0010000000474974513,59,0.6503425240516663,0.6146347522735596,0.6901785731315613,0.6129146218299866,0.6503425240516663,0.6146347522735596,0.6734693646430969,0.6218429207801819,0.6740740537643433,0.6090409755706787,0.6734693646430969,0.6218429207801819
12.0,0.0010000000474974513,64,0.6864644885063171,0.6092342734336853,0.629464328289032,0.6132218241691589,0.6864644885063171,0.6092342734336853,0.5571428537368774,0.6867657899856567,0.5407407283782959,0.7138050198554993,0.5571428537368774,0.6867657899856567
13.0,0.0010000000474974513,69,0.6796619296073914,0.6721416711807251,0.6616072058677673,0.6301672458648682,0.6796619296073914,0.6721416711807251,0.6877551078796387,0.7008363008499146,0.6962962746620178,0.5821308493614197,0.6877551078796387,0.7008363008499146
14.0,0.0010000000474974513,74,0.6511422991752625,0.6319305300712585,0.6589285731315613,0.5871426463127136,0.6511422991752625,0.6319305300712585,0.6959183812141418,0.6128824353218079,0.7185184955596924,0.5722432732582092,0.6959183812141418,0.6128824353218079
15.0,0.0010000000474974513,79,0.7052904367446899,0.6352617144584656,0.6669642925262451,0.6027791500091553,0.7052904367446899,0.6352617144584656,0.6897959113121033,0.6091377139091492,0.7185184955596924,0.5657501220703125,0.6897959113121033,0.6091377139091492
16.0,0.0010000000474974513,84,0.6941013336181641,0.5990239977836609,0.762499988079071,0.5507821440696716,0.6941013336181641,0.5990239977836609,0.7081632614135742,0.6131988167762756,0.7037037014961243,0.5699262022972107,0.7081632614135742,0.6131988167762756
17.0,0.0010000000474974513,89,0.6902675032615662,0.5998956561088562,0.6794642806053162,0.6264500617980957,0.6902675032615662,0.5998956561088562,0.6265305876731873,0.6449164748191833,0.7259259223937988,0.5584079623222351,0.6265305876731873,0.6449164748191833
18.0,0.0010000000474974513,94,0.713421642780304,0.5958244204521179,0.6669642925262451,0.5716201663017273,0.713421642780304,0.5958244204521179,0.6489796042442322,0.6202418804168701,0.6222222447395325,0.6198840141296387,0.6489796042442322,0.6202418804168701
19.0,0.0010000000474974513,99,0.7048234939575195,0.5835139155387878,0.6142857074737549,0.6005949974060059,0.7048234939575195,0.5835139155387878,0.7204081416130066,0.6086476445198059,0.7259259223937988,0.55370032787323,0.7204081416130066,0.6086476445198059
20.0,0.0010000000474974513,104,0.7003204226493835,0.5828919410705566,0.6794642806053162,0.5572585463523865,0.7003204226493835,0.5828919410705566,0.6918367147445679,0.6084035634994507,0.7407407164573669,0.527238130569458,0.6918367147445679,0.6084035634994507
21.0,0.0010000000474974513,109,0.7052727937698364,0.5787426829338074,0.6892856955528259,0.5483812093734741,0.7052727937698364,0.5787426829338074,0.722449004650116,0.6242086887359619,0.7111111283302307,0.5565404891967773,0.722449004650116,0.6242086887359619
