epoch,step,test_inhibitors_classes_acc,test_inhibitors_classes_auc,test_inhibitors_classes_loss,test_inhibitors_classes_pr_auc,test_inhibitors_classes_precision,test_inhibitors_classes_recall,test_total_acc,test_total_auc,test_total_loss,test_total_pr_auc
0,0,0.34611397981643677,0.2618614435195923,0.7145671248435974,0.3754042387008667,0.3367529511451721,0.3261006474494934,0.34611397981643677,0.2618614435195923,0.7145671248435974,0.3754042387008667
0,0,0.3235294222831726,0.2975778579711914,0.7104292511940002,0.43834805488586426,0.3229166865348816,0.3235294222831726,0.3235294222831726,0.2975778579711914,0.7104292511940002,0.43834805488586426
0,0,0.4045643210411072,0.7431201934814453,0.7083861231803894,0.7200388312339783,0.640609860420227,0.5233545899391174,0.4045643210411072,0.7431201934814453,0.7083861231803894,0.7200388312339783
0,0,0.5,0.7474048137664795,0.6692115664482117,0.7485557198524475,0.5,0.5,0.5,0.7474048137664795,0.6692115664482117,0.7485557198524475
0,0,0.5020747184753418,0.29460394382476807,0.694517970085144,0.38932254910469055,0.39514610171318054,0.42435139417648315,0.5020747184753418,0.29460394382476807,0.694517970085144,0.38932254910469055
0,0,0.529411792755127,0.4513888955116272,0.6934333443641663,0.5221990346908569,0.5625,0.5451388955116272,0.529411792755127,0.4513888955116272,0.6934333443641663,0.5221990346908569
0,0,0.4336099624633789,0.4888959228992462,0.694842517375946,0.5354426503181458,0.3908711075782776,0.39189207553863525,0.4336099624633789,0.4888959228992462,0.694842517375946,0.5354426503181458
0,0,0.21212121844291687,0.4577205777168274,0.6994383335113525,0.5493329167366028,0.21111111342906952,0.2132352888584137,0.21212121844291687,0.4577205777168274,0.6994383335113525,0.5493329167366028
0,0,0.35165974497795105,0.25131794810295105,0.7474842071533203,0.3742886185646057,0.3309294879436493,0.4630838632583618,0.35165974497795105,0.25131794810295105,0.7474842071533203,0.3742886185646057
0,0,0.42424243688583374,0.10661764442920685,0.7356029152870178,0.33896738290786743,0.23333333432674408,0.4117647111415863,0.42424243688583374,0.10661764442920685,0.7356029152870178,0.33896738290786743
