epoch,step,test_inhibitors_classes_acc,test_inhibitors_classes_auc,test_inhibitors_classes_loss,test_inhibitors_classes_pr_auc,test_inhibitors_classes_precision,test_inhibitors_classes_recall,test_total_acc,test_total_auc,test_total_loss,test_total_pr_auc
0,0,0.6725388765335083,0.7393106818199158,0.6257742047309875,0.717191755771637,0.6595534086227417,0.6683145761489868,0.6725388765335083,0.7393106818199158,0.6257742047309875,0.717191755771637
0,0,0.8235294222831726,0.8200691938400269,0.63006192445755,0.7981518507003784,0.8235294222831726,0.8235294222831726,0.8235294222831726,0.8200691938400269,0.63006192445755,0.7981518507003784
0,0,0.6991701126098633,0.7483643293380737,0.6191040873527527,0.7324627637863159,0.6850088834762573,0.6940721273422241,0.6991701126098633,0.7483643293380737,0.6191040873527527,0.7324627637863159
0,0,0.7941176295280457,0.8235293626785278,0.5757315158843994,0.8298934698104858,0.7951388955116272,0.7941176891326904,0.7941176295280457,0.8235293626785278,0.5757315158843994,0.8298934698104858
0,0,0.6141079068183899,0.6400884389877319,0.6677809953689575,0.6111229062080383,0.6072972416877747,0.6144109964370728,0.6141079068183899,0.6400884389877319,0.6677809953689575,0.6111229062080383
0,0,0.7647058963775635,0.8506944179534912,0.5926721096038818,0.8645862936973572,0.7678571343421936,0.7604166269302368,0.7647058963775635,0.8506944179534912,0.5926721096038818,0.8645862936973572
0,0,0.6701244711875916,0.7272312641143799,0.6268506050109863,0.6948730945587158,0.6608536243438721,0.6709316968917847,0.6701244711875916,0.7272312641143799,0.6268506050109863,0.6948730945587158
0,0,0.6363636255264282,0.7977941036224365,0.5881750583648682,0.7982314229011536,0.7170329689979553,0.6452205777168274,0.6363636255264282,0.7977941036224365,0.5881750583648682,0.7982314229011536
0,0,0.704356849193573,0.7544418573379517,0.6528913974761963,0.7307621836662292,0.6916177868843079,0.6444048285484314,0.704356849193573,0.7544418573379517,0.6528913974761963,0.7307621836662292
0,0,0.6363636255264282,0.8823529481887817,0.6518189311027527,0.8899691104888916,0.7170329689979553,0.6452205777168274,0.6363636255264282,0.8823529481887817,0.6518189311027527,0.8899691104888916
