epoch,step,test_inhibitors_classes_acc,test_inhibitors_classes_auc,test_inhibitors_classes_loss,test_inhibitors_classes_pr_auc,test_inhibitors_classes_precision,test_inhibitors_classes_recall,test_total_acc,test_total_auc,test_total_loss,test_total_pr_auc
0,0,0.6642487049102783,0.7292901873588562,0.6404256224632263,0.7097995281219482,0.6583912372589111,0.6690936088562012,0.6642487049102783,0.7292901873588562,0.6404256224632263,0.7097995281219482
0,0,0.6764705777168274,0.6782007217407227,0.6593815684318542,0.6935895681381226,0.6931818127632141,0.6764706373214722,0.6764705777168274,0.6782007217407227,0.6593815684318542,0.6935895681381226
0,0,0.6275933384895325,0.6568543910980225,0.6548674702644348,0.638357937335968,0.31379666924476624,0.5,0.6275933384895325,0.6568543910980225,0.6548674702644348,0.638357937335968
0,0,0.5,0.6885813474655151,0.694547176361084,0.712020754814148,0.25,0.5,0.5,0.6885813474655151,0.694547176361084,0.712020754814148
0,0,0.37966805696487427,0.7317548990249634,0.7005659341812134,0.6990352272987366,0.6318789720535278,0.5052188038825989,0.37966805696487427,0.7317548990249634,0.7005659341812134,0.6990352272987366
0,0,0.529411792755127,0.6215277910232544,0.6893675923347473,0.6448434591293335,0.2647058963775635,0.5,0.529411792755127,0.6215277910232544,0.6893675923347473,0.6448434591293335
0,0,0.34751036763191223,0.2752595543861389,0.7120214700698853,0.3823605477809906,0.3407623767852783,0.33009278774261475,0.34751036763191223,0.2752595543861389,0.7120214700698853,0.3823605477809906
0,0,0.27272728085517883,0.1617647111415863,0.7228708267211914,0.35536104440689087,0.25,0.26838237047195435,0.27272728085517883,0.1617647111415863,0.7228708267211914,0.35536104440689087
0,0,0.3692946135997772,0.3482515811920166,0.7492548227310181,0.4143649637699127,0.41257762908935547,0.4861944317817688,0.3692946135997772,0.3482515811920166,0.7492548227310181,0.4143649637699127
0,0,0.5151515007019043,0.27941179275512695,0.7227789759635925,0.4302375912666321,0.25757575035095215,0.5,0.5151515007019043,0.27941179275512695,0.7227789759635925,0.4302375912666321
