epoch,step,test_inhibitors_classes_acc,test_inhibitors_classes_auc,test_inhibitors_classes_loss,test_inhibitors_classes_pr_auc,test_inhibitors_classes_precision,test_inhibitors_classes_recall,test_total_acc,test_total_auc,test_total_loss,test_total_pr_auc
0,0,0.7575129270553589,0.8413635492324829,0.6131268739700317,0.8159831166267395,0.7506251335144043,0.7671934366226196,0.7575129270553589,0.8413635492324829,0.6131268739700317,0.8159831166267395
0,0,0.5882353186607361,0.5709342956542969,0.6895607709884644,0.6055567860603333,0.6133333444595337,0.5882353186607361,0.5882353186607361,0.5709342956542969,0.6895607709884644,0.6055567860603333
0,0,0.7323651313781738,0.8281682729721069,0.6079100370407104,0.8147237300872803,0.7295728325843811,0.7454361319541931,0.7323651313781738,0.8281682729721069,0.6079100370407104,0.8147237300872803
0,0,0.7647058963775635,0.8373702764511108,0.5138174891471863,0.8321475982666016,0.7684210538864136,0.7647058963775635,0.7647058963775635,0.8373702764511108,0.5138174891471863,0.8321475982666016
0,0,0.7126556038856506,0.8414419889450073,0.6163589358329773,0.809198260307312,0.7378509044647217,0.7484219074249268,0.7126556038856506,0.8414419889450073,0.6163589358329773,0.809198260307312
0,0,0.6764705777168274,0.7256944179534912,0.620807945728302,0.7208008170127869,0.675438642501831,0.6736111044883728,0.6764705777168274,0.7256944179534912,0.620807945728302,0.7208008170127869
0,0,0.7230290174484253,0.8020948767662048,0.6304881572723389,0.780898928642273,0.7185689210891724,0.7334675788879395,0.7230290174484253,0.8020948767662048,0.6304881572723389,0.780898928642273
0,0,0.8181818127632141,0.8860294222831726,0.5349898934364319,0.8949010372161865,0.8365384340286255,0.8216911554336548,0.8181818127632141,0.8860294222831726,0.5349898934364319,0.8949010372161865
0,0,0.7458506226539612,0.8184489011764526,0.6113059520721436,0.7896850109100342,0.735479474067688,0.7493841648101807,0.7458506226539612,0.8184489011764526,0.6113059520721436,0.7896850109100342
0,0,0.7878788113594055,0.8529411554336548,0.49244225025177,0.8671790361404419,0.7886029481887817,0.7886029481887817,0.7878788113594055,0.8529411554336548,0.49244225025177,0.8671790361404419
