epoch,lr,step,train_inhibitors_classes_acc,train_inhibitors_classes_loss,train_total_acc,train_total_loss,val_inhibitors_classes_acc,val_inhibitors_classes_loss,val_total_acc,val_total_loss
0.0,0.0010000000474974513,105,0.6078588366508484,0.6876165866851807,0.6078588366508484,0.6876165866851807,0.6836734414100647,0.6595535278320312,0.6836734414100647,0.6595535278320312
1.0,0.0010000000474974513,211,0.6285377740859985,0.6599828600883484,0.6285377740859985,0.6599828600883484,0.7142857313156128,0.6114446520805359,0.7142857313156128,0.6114446520805359
2.0,0.0010000000474974513,317,0.6773921847343445,0.6166861057281494,0.6773921847343445,0.6166861057281494,0.6897959113121033,0.5945520401000977,0.6897959113121033,0.5945520401000977
3.0,0.0010000000474974513,423,0.6946175694465637,0.5839026570320129,0.6946175694465637,0.5839026570320129,0.7163265347480774,0.5809558033943176,0.7163265347480774,0.5809558033943176
4.0,0.0010000000474974513,529,0.7073366045951843,0.5772231817245483,0.7073366045951843,0.5772231817245483,0.7122448682785034,0.6489171385765076,0.7122448682785034,0.6489171385765076
5.0,0.0010000000474974513,635,0.7135698199272156,0.5697129368782043,0.7135698199272156,0.5697129368782043,0.6795918345451355,0.5566149353981018,0.6795918345451355,0.5566149353981018
6.0,0.0010000000474974513,741,0.7243093252182007,0.5546594858169556,0.7243093252182007,0.5546594858169556,0.6816326379776001,0.5558896660804749,0.6816326379776001,0.5558896660804749
7.0,0.0010000000474974513,847,0.7231300473213196,0.5502532124519348,0.7231300473213196,0.5502532124519348,0.6714285612106323,0.5725841522216797,0.6714285612106323,0.5725841522216797
8.0,0.0010000000474974513,953,0.7290263175964355,0.5537956357002258,0.7290263175964355,0.5537956357002258,0.6918367147445679,0.5503441691398621,0.6918367147445679,0.5503441691398621
9.0,0.0010000000474974513,1059,0.7234249114990234,0.5437362194061279,0.7234249114990234,0.5437362194061279,0.7285714149475098,0.5483093857765198,0.7285714149475098,0.5483093857765198
10.0,0.0010000000474974513,1165,0.735975444316864,0.536187469959259,0.735975444316864,0.536187469959259,0.7244898080825806,0.5589790344238281,0.7244898080825806,0.5589790344238281
11.0,0.0010000000474974513,1271,0.7298686504364014,0.5349329710006714,0.7298686504364014,0.5349329710006714,0.6775510311126709,0.5780909657478333,0.6775510311126709,0.5780909657478333
12.0,0.0010000000474974513,1377,0.7334484457969666,0.5347331762313843,0.7334484457969666,0.5347331762313843,0.7367346882820129,0.5253892540931702,0.7367346882820129,0.5253892540931702
13.0,0.0010000000474974513,1483,0.7342066168785095,0.5313515663146973,0.7342066168785095,0.5313515663146973,0.7163265347480774,0.5384251475334167,0.7163265347480774,0.5384251475334167
14.0,0.0010000000474974513,1589,0.7371547222137451,0.5124810934066772,0.7371547222137451,0.5124810934066772,0.704081654548645,0.5232872366905212,0.704081654548645,0.5232872366905212
15.0,0.0010000000474974513,1695,0.7459990382194519,0.5039803981781006,0.7459990382194519,0.5039803981781006,0.722449004650116,0.5991789102554321,0.722449004650116,0.5991789102554321
16.0,0.0010000000474974513,1801,0.7468834519386292,0.5108700394630432,0.7468834519386292,0.5108700394630432,0.7489795684814453,0.5449398756027222,0.7489795684814453,0.5449398756027222
17.0,0.0010000000474974513,1907,0.7509686350822449,0.4928267300128937,0.7509686350822449,0.4928267300128937,0.7346938848495483,0.5058155655860901,0.7346938848495483,0.5058155655860901
18.0,0.0010000000474974513,2013,0.7465465068817139,0.5014147758483887,0.7465465068817139,0.5014147758483887,0.7081632614135742,0.5227116942405701,0.7081632614135742,0.5227116942405701
19.0,0.0010000000474974513,2119,0.7563174366950989,0.48566949367523193,0.7563174366950989,0.48566949367523193,0.7122448682785034,0.5196135640144348,0.7122448682785034,0.5196135640144348
20.0,0.0010000000474974513,2225,0.7608659267425537,0.4871232211589813,0.7608659267425537,0.4871232211589813,0.7020407915115356,0.5138745307922363,0.7020407915115356,0.5138745307922363
21.0,0.0010000000474974513,2331,0.7549697160720825,0.4985038638114929,0.7549697160720825,0.4985038638114929,0.7489795684814453,0.5127036571502686,0.7489795684814453,0.5127036571502686
22.0,0.0010000000474974513,2437,0.7644036412239075,0.4764787554740906,0.7644036412239075,0.4764787554740906,0.7346938848495483,0.574990451335907,0.7346938848495483,0.574990451335907
23.0,0.0010000000474974513,2543,0.7663410305976868,0.4772888720035553,0.7663410305976868,0.4772888720035553,0.7469387650489807,0.5086256861686707,0.7469387650489807,0.5086256861686707
24.0,0.0010000000474974513,2649,0.7649933099746704,0.47901248931884766,0.7649933099746704,0.47901248931884766,0.7285714149475098,0.49553626775741577,0.7285714149475098,0.49553626775741577
25.0,0.0010000000474974513,2755,0.787441074848175,0.45131054520606995,0.787441074848175,0.45131054520606995,0.7571428418159485,0.5013832449913025,0.7571428418159485,0.5013832449913025
26.0,0.0010000000474974513,2861,0.7794390320777893,0.455382376909256,0.7794390320777893,0.455382376909256,0.7204081416130066,0.4929389953613281,0.7204081416130066,0.4929389953613281
27.0,0.0010000000474974513,2967,0.7855037450790405,0.4530666768550873,0.7855037450790405,0.4530666768550873,0.7408163547515869,0.48981350660324097,0.7408163547515869,0.48981350660324097
28.0,0.0010000000474974513,3073,0.7799023389816284,0.4434314966201782,0.7799023389816284,0.4434314966201782,0.6489796042442322,0.5527094602584839,0.6489796042442322,0.5527094602584839
29.0,0.0010000000474974513,3179,0.7764909267425537,0.4586864709854126,0.7764909267425537,0.4586864709854126,0.7408163547515869,0.5428619384765625,0.7408163547515869,0.5428619384765625
30.0,0.0010000000474974513,3285,0.7847877740859985,0.4393576979637146,0.7847877740859985,0.4393576979637146,0.7469387650489807,0.4882148802280426,0.7469387650489807,0.4882148802280426
31.0,0.0010000000474974513,3391,0.7924107313156128,0.4332154393196106,0.7924107313156128,0.4332154393196106,0.7285714149475098,0.49177825450897217,0.7285714149475098,0.49177825450897217
32.0,0.0010000000474974513,3497,0.7892099022865295,0.434162974357605,0.7892099022865295,0.434162974357605,0.7428571581840515,0.5118113160133362,0.7428571581840515,0.5118113160133362
33.0,0.0010000000474974513,3603,0.8028976321220398,0.4217863976955414,0.8028976321220398,0.4217863976955414,0.7408163547515869,0.5095551609992981,0.7408163547515869,0.5095551609992981
34.0,0.0010000000474974513,3709,0.7941796183586121,0.4196922183036804,0.7941796183586121,0.4196922183036804,0.7469387650489807,0.49551495909690857,0.7469387650489807,0.49551495909690857
35.0,0.0010000000474974513,3815,0.7967066168785095,0.4203434884548187,0.7967066168785095,0.4203434884548187,0.7346938848495483,0.5210431218147278,0.7346938848495483,0.5210431218147278
36.0,0.0010000000474974513,3921,0.7990650534629822,0.41611194610595703,0.7990650534629822,0.41611194610595703,0.7469387650489807,0.5095613598823547,0.7469387650489807,0.5095613598823547
37.0,0.0010000000474974513,4027,0.8101415038108826,0.40179669857025146,0.8101415038108826,0.40179669857025146,0.7448979616165161,0.5165764689445496,0.7448979616165161,0.5165764689445496
38.0,0.0010000000474974513,4133,0.8079936504364014,0.4092499911785126,0.8079936504364014,0.4092499911785126,0.7510204315185547,0.5145013928413391,0.7510204315185547,0.5145013928413391
39.0,0.0010000000474974513,4239,0.8136371374130249,0.39066141843795776,0.8136371374130249,0.39066141843795776,0.7591836452484131,0.5155121684074402,0.7591836452484131,0.5155121684074402
40.0,0.0010000000474974513,4345,0.8127527236938477,0.39582547545433044,0.8127527236938477,0.39582547545433044,0.7306122183799744,0.5083860158920288,0.7306122183799744,0.5083860158920288
41.0,0.0010000000474974513,4451,0.8171749114990234,0.3937102258205414,0.8171749114990234,0.3937102258205414,0.7387754917144775,0.5176331996917725,0.7387754917144775,0.5176331996917725
42.0,0.0010000000474974513,4557,0.8234080076217651,0.37857916951179504,0.8234080076217651,0.37857916951179504,0.7734693884849548,0.5465188026428223,0.7734693884849548,0.5465188026428223
43.0,0.0010000000474974513,4663,0.8236607313156128,0.37076064944267273,0.8236607313156128,0.37076064944267273,0.7530612349510193,0.5298620462417603,0.7530612349510193,0.5298620462417603
44.0,0.0010000000474974513,4769,0.8217655420303345,0.3827524185180664,0.8217655420303345,0.3827524185180664,0.7632653117179871,0.5473283529281616,0.7632653117179871,0.5473283529281616
45.0,0.0010000000474974513,4875,0.8305677175521851,0.3614945411682129,0.8305677175521851,0.3614945411682129,0.7591836452484131,0.532516598701477,0.7591836452484131,0.532516598701477
46.0,0.0010000000474974513,4981,0.8336843252182007,0.36255142092704773,0.8336843252182007,0.36255142092704773,0.7673469185829163,0.5351581573486328,0.7673469185829163,0.5351581573486328
47.0,0.0010000000474974513,5087,0.8310731053352356,0.37006521224975586,0.8310731053352356,0.37006521224975586,0.7612245082855225,0.5175727009773254,0.7612245082855225,0.5175727009773254
48.0,0.0010000000474974513,5193,0.8428655862808228,0.34453555941581726,0.8428655862808228,0.34453555941581726,0.7510204315185547,0.5095983147621155,0.7510204315185547,0.5095983147621155
49.0,0.0010000000474974513,5299,0.8416442275047302,0.3427395820617676,0.8416442275047302,0.3427395820617676,0.7551020383834839,0.49780556559562683,0.7551020383834839,0.49780556559562683
50.0,0.0010000000474974513,5405,0.849056601524353,0.33175089955329895,0.849056601524353,0.33175089955329895,0.7571428418159485,0.5038264989852905,0.7571428418159485,0.5038264989852905
51.0,0.0010000000474974513,5511,0.8525943756103516,0.3267589807510376,0.8525943756103516,0.3267589807510376,0.7734693884849548,0.5738162398338318,0.7734693884849548,0.5738162398338318
52.0,0.0010000000474974513,5617,0.8509518504142761,0.3173418641090393,0.8509518504142761,0.3173418641090393,0.7428571581840515,0.5697339177131653,0.7428571581840515,0.5697339177131653
53.0,0.0010000000474974513,5723,0.8584484457969666,0.3194965124130249,0.8584484457969666,0.3194965124130249,0.7591836452484131,0.538870632648468,0.7591836452484131,0.538870632648468
54.0,0.0010000000474974513,5829,0.8349899053573608,0.34822458028793335,0.8349899053573608,0.34822458028793335,0.7571428418159485,0.5100458860397339,0.7571428418159485,0.5100458860397339
55.0,0.0010000000474974513,5935,0.8637550473213196,0.30628320574760437,0.8637550473213196,0.30628320574760437,0.777550995349884,0.6128833889961243,0.777550995349884,0.6128833889961243
56.0,0.0010000000474974513,6041,0.8597962260246277,0.30608069896698,0.8597962260246277,0.30608069896698,0.7510204315185547,0.5451629161834717,0.7510204315185547,0.5451629161834717
57.0,0.0010000000474974513,6147,0.8600910305976868,0.2958618104457855,0.8600910305976868,0.2958618104457855,0.7734693884849548,0.7342731952667236,0.7734693884849548,0.7342731952667236
58.0,0.0010000000474974513,6253,0.8708726763725281,0.28904518485069275,0.8708726763725281,0.28904518485069275,0.7734693884849548,0.5803271532058716,0.7734693884849548,0.5803271532058716
59.0,0.0010000000474974513,6359,0.8702409267425537,0.2798592448234558,0.8702409267425537,0.2798592448234558,0.7571428418159485,0.7943089604377747,0.7571428418159485,0.7943089604377747
60.0,0.0010000000474974513,6465,0.8730627298355103,0.28760063648223877,0.8730627298355103,0.28760063648223877,0.7632653117179871,0.5826038718223572,0.7632653117179871,0.5826038718223572
61.0,0.0010000000474974513,6571,0.871293842792511,0.2827388644218445,0.871293842792511,0.2827388644218445,0.7734693884849548,0.6250810623168945,0.7734693884849548,0.6250810623168945
62.0,0.0010000000474974513,6677,0.8707042336463928,0.2870105504989624,0.8707042336463928,0.2870105504989624,0.7795918583869934,0.5657172203063965,0.7795918583869934,0.5657172203063965
63.0,0.0010000000474974513,6783,0.8801382184028625,0.2592935562133789,0.8801382184028625,0.2592935562133789,0.7755101919174194,0.6666154265403748,0.7755101919174194,0.6666154265403748
64.0,0.0010000000474974513,6889,0.8782429099082947,0.2717687785625458,0.8782429099082947,0.2717687785625458,0.7387754917144775,0.6864662766456604,0.7387754917144775,0.6864662766456604
