epoch,step,test_inhibitors_refine_acc,test_inhibitors_refine_auc,test_inhibitors_refine_loss,test_inhibitors_refine_pr_auc,test_inhibitors_refine_precision,test_inhibitors_refine_recall,test_total_acc,test_total_auc,test_total_loss,test_total_pr_auc
0,0,0.6321243643760681,0.7430028915405273,1.6517194509506226,0.7279670834541321,0.6598210334777832,0.6656554341316223,0.6321243643760681,0.7430028915405273,1.6517194509506226,0.7279670834541321
0,0,0.529411792755127,0.6505190134048462,1.776185154914856,0.6871061325073242,0.5335968732833862,0.529411792755127,0.529411792755127,0.6505190134048462,1.776185154914856,0.6871061325073242
0,0,0.523858904838562,0.7136490345001221,1.3721604347229004,0.6884360313415527,0.6246356964111328,0.5968760848045349,0.523858904838562,0.7136490345001221,1.3721604347229004,0.6884360313415527
0,0,0.6176470518112183,0.7681660652160645,1.0938509702682495,0.7809510231018066,0.7833333015441895,0.6176470518112183,0.6176470518112183,0.7681660652160645,1.0938509702682495,0.7809510231018066
0,0,0.6452282071113586,0.7202225923538208,2.3438541889190674,0.7031553983688354,0.6362365484237671,0.6448675394058228,0.6452282071113586,0.7202225923538208,2.3438541889190674,0.7031553983688354
0,0,0.7352941036224365,0.8619791269302368,1.328831672668457,0.8758768439292908,0.74210524559021,0.7395833730697632,0.7352941036224365,0.8619791269302368,1.328831672668457,0.8758768439292908
0,0,0.6763485670089722,0.7465526461601257,2.9576361179351807,0.7130048274993896,0.6828533411026001,0.6951448917388916,0.6763485670089722,0.7465526461601257,2.9576361179351807,0.7130048274993896
0,0,0.7575757503509521,0.845588207244873,1.745261788368225,0.8604097366333008,0.7954545617103577,0.7628676891326904,0.7575757503509521,0.845588207244873,1.745261788368225,0.8604097366333008
0,0,0.6721991896629333,0.728830099105835,2.796687126159668,0.68655925989151,0.6669570207595825,0.6782476305961609,0.6721991896629333,0.728830099105835,2.796687126159668,0.68655925989151
0,0,0.7575757503509521,0.8308824300765991,1.8877214193344116,0.840839147567749,0.7573529481887817,0.7573529481887817,0.7575757503509521,0.8308824300765991,1.8877214193344116,0.840839147567749
