IDs,Subtypes,colors,indices
MolQedWeightsMax,Property,#ff6a00,6
MolQedWeightsNone,Property,#ff6a00,8
MolFractionCSP3,Property,#ff6a00,10
StN,Estate,#6568f7,901
SssSiH2,Estate,#6568f7,915
SsssSiH,Estate,#6568f7,916
SsPH2,Estate,#6568f7,918
SssPH,Estate,#6568f7,919
SsssP,Estate,#6568f7,920
SsSH,Estate,#6568f7,923
SddssS,Estate,#6568f7,928
SsCl,Estate,#6568f7,929
SsGeH3,Estate,#6568f7,930
SssGeH2,Estate,#6568f7,931
SsssGeH,Estate,#6568f7,932
SsSnH3,Estate,#6568f7,946
MAXssCH2,Estate,#6568f7,963
