epoch,step,test_inhibitors_refine_acc,test_inhibitors_refine_auc,test_inhibitors_refine_loss,test_inhibitors_refine_pr_auc,test_inhibitors_refine_precision,test_inhibitors_refine_recall,test_total_acc,test_total_auc,test_total_loss,test_total_pr_auc
0,0,0.7367875576019287,0.8451051115989685,0.9377660155296326,0.8144242763519287,0.7529532313346863,0.7677220106124878,0.7367875576019287,0.8451051115989685,0.9377660155296326,0.8144242763519287
0,0,0.6470588445663452,0.5986158847808838,1.011304259300232,0.6009007692337036,0.6491228342056274,0.6470588445663452,0.6470588445663452,0.5986158847808838,1.011304259300232,0.6009007692337036
0,0,0.6950207352638245,0.7925459146499634,1.7293896675109863,0.7788655161857605,0.7080594301223755,0.7207808494567871,0.6950207352638245,0.7925459146499634,1.7293896675109863,0.7788655161857605
0,0,0.7058823704719543,0.8512110710144043,1.1254804134368896,0.8704593181610107,0.7351778745651245,0.7058823704719543,0.7058823704719543,0.8512110710144043,1.1254804134368896,0.8704593181610107
0,0,0.7302904725074768,0.8243191838264465,0.8920750021934509,0.8040380477905273,0.7289915084838867,0.7449158430099487,0.7302904725074768,0.8243191838264465,0.8920750021934509,0.8040380477905273
0,0,0.8235294222831726,0.8993055820465088,0.41191545128822327,0.9094367027282715,0.8229166269302368,0.8229166269302368,0.8235294222831726,0.8993055820465088,0.41191545128822327,0.9094367027282715
0,0,0.6960580945014954,0.787984311580658,1.2410444021224976,0.7580653429031372,0.7023032903671265,0.7159441709518433,0.6960580945014954,0.787984311580658,1.2410444021224976,0.7580653429031372
0,0,0.6969696879386902,0.7904411554336548,0.5752098560333252,0.7749760150909424,0.7096153497695923,0.7003676891326904,0.6969696879386902,0.7904411554336548,0.5752098560333252,0.7749760150909424
0,0,0.726141095161438,0.7944796085357666,2.1179773807525635,0.7655373215675354,0.7201153039932251,0.7348143458366394,0.726141095161438,0.7944796085357666,2.1179773807525635,0.7655373215675354
0,0,0.6969696879386902,0.8088235855102539,1.8394120931625366,0.8197802901268005,0.6966911554336548,0.6966911554336548,0.6969696879386902,0.8088235855102539,1.8394120931625366,0.8197802901268005
