epoch,step,test_inhibitors_classes_acc,test_inhibitors_classes_auc,test_inhibitors_classes_loss,test_inhibitors_classes_pr_auc,test_inhibitors_classes_precision,test_inhibitors_classes_recall,test_total_acc,test_total_auc,test_total_loss,test_total_pr_auc
0,0,0.7844559550285339,0.8488651514053345,0.4758322834968567,0.8238632678985596,0.7700070142745972,0.7789950966835022,0.7844559550285339,0.8488651514053345,0.4758322834968567,0.8238632678985596
0,0,0.5588235259056091,0.6159169673919678,0.8001148104667664,0.617146909236908,0.5817307829856873,0.5588235259056091,0.5588235259056091,0.6159169673919678,0.8001148104667664,0.617146909236908
0,0,0.7614107728004456,0.8190243244171143,0.5769143104553223,0.7981077432632446,0.7449098229408264,0.7470568418502808,0.7614107728004456,0.8190243244171143,0.5769143104553223,0.7981077432632446
0,0,0.7941176295280457,0.8373702764511108,0.5852086544036865,0.8498553037643433,0.821969747543335,0.7941176891326904,0.7941176295280457,0.8373702764511108,0.5852086544036865,0.8498553037643433
0,0,0.7842323780059814,0.8387670516967773,0.8301129341125488,0.8107808828353882,0.7710408568382263,0.7607080936431885,0.7842323780059814,0.8387670516967773,0.8301129341125488,0.8107808828353882
0,0,0.7647058963775635,0.7361111044883728,1.7924271821975708,0.7413210272789001,0.8333333730697632,0.7777777910232544,0.7647058963775635,0.7361111044883728,1.7924271821975708,0.7413210272789001
0,0,0.7603734731674194,0.8154561519622803,0.802299439907074,0.7769061326980591,0.7447112798690796,0.7343378067016602,0.7603734731674194,0.8154561519622803,0.802299439907074,0.7769061326980591
0,0,0.6060606241226196,0.8088235259056091,1.496546745300293,0.8281515836715698,0.6944444179534912,0.6158088445663452,0.6060606241226196,0.8088235259056091,1.496546745300293,0.8281515836715698
0,0,0.7645228505134583,0.8195768594741821,1.1411168575286865,0.8009930849075317,0.7482366561889648,0.7450056076049805,0.7645228505134583,0.8195768594741821,1.1411168575286865,0.8009930849075317
0,0,0.7575757503509521,0.7536764740943909,1.8907345533370972,0.7571446895599365,0.7730768918991089,0.7610294222831726,0.7575757503509521,0.7536764740943909,1.8907345533370972,0.7571446895599365
