epoch,step,test_inhibitors_refine_acc,test_inhibitors_refine_auc,test_inhibitors_refine_loss,test_inhibitors_refine_pr_auc,test_inhibitors_refine_precision,test_inhibitors_refine_recall,test_total_acc,test_total_auc,test_total_loss,test_total_pr_auc
0,0,0.786528468132019,0.8448017835617065,0.5666694641113281,0.8139169812202454,0.7714475393295288,0.773833155632019,0.786528468132019,0.8448017835617065,0.5666694641113281,0.8139169812202454
0,0,0.5882353186607361,0.5882352590560913,1.1900849342346191,0.5944480299949646,0.6349206566810608,0.5882353186607361,0.5882353186607361,0.5882352590560913,1.1900849342346191,0.5944480299949646
0,0,0.7219917178153992,0.7906351089477539,0.7918840646743774,0.7768375873565674,0.7088831067085266,0.7196160554885864,0.7219917178153992,0.7906351089477539,0.7918840646743774,0.7768375873565674
0,0,0.7352941036224365,0.8442906737327576,0.5590490698814392,0.8641947507858276,0.7361111044883728,0.7352941036224365,0.7352941036224365,0.8442906737327576,0.5590490698814392,0.8641947507858276
0,0,0.7468879818916321,0.8248071670532227,0.5334507822990417,0.8029903173446655,0.7316386699676514,0.7128341197967529,0.7468879818916321,0.8248071670532227,0.5334507822990417,0.8029903173446655
0,0,0.7647058963775635,0.90625,0.5330861806869507,0.9165538549423218,0.8333333730697632,0.7777777910232544,0.7647058963775635,0.90625,0.5330861806869507,0.9165538549423218
0,0,0.7271783947944641,0.7883653044700623,0.6144223213195801,0.7586970329284668,0.7075750827789307,0.7016621232032776,0.7271783947944641,0.7883653044700623,0.6144223213195801,0.7586970329284668
0,0,0.6363636255264282,0.7977941036224365,0.7548103332519531,0.7812137603759766,0.7857142686843872,0.6470588445663452,0.6363636255264282,0.7977941036224365,0.7548103332519531,0.7812137603759766
0,0,0.7074688673019409,0.7928635478019714,1.0809264183044434,0.7671433687210083,0.7077344655990601,0.7222035527229309,0.7074688673019409,0.7928635478019714,1.0809264183044434,0.7671433687210083
0,0,0.7272727489471436,0.8014706373214722,0.899960458278656,0.8141286373138428,0.7277777791023254,0.7261029481887817,0.7272727489471436,0.8014706373214722,0.899960458278656,0.8141286373138428
